path_plotr,component,region,dataset_dash,dataset_id,src_datasets
macrofauna_MAB.Rmd-nefsc-survey-disaggregated-managed-spp-bts.R,macrofauna,MAB,nefsc-survey-disaggregated-managed-spp-bts,nefsc_survey_disaggregated_managed_spp_bts,NA
macrofauna_NE.Rmd-nefsc-survey-disaggregated-managed-spp-bts-gb.R,macrofauna,NE,nefsc-survey-disaggregated-managed-spp-bts-gb,nefsc_survey_disaggregated_managed_spp_bts_gb,NA
macrofauna_NE.Rmd-nefsc-survey-disaggregated-managed-spp-bts-gom.R,macrofauna,NE,nefsc-survey-disaggregated-managed-spp-bts-gom,nefsc_survey_disaggregated_managed_spp_bts_gom,NA
macrofauna_NE.Rmd-nefsc-survey-disaggregated-NEFMC-ssp-in-mab.R,macrofauna,NE,nefsc-survey-disaggregated-NEFMC-ssp-in-mab,nefsc_survey_disaggregated_NEFMC_ssp_in_mab,NA
NA,NA,NA,NA,new_england,TRUE
macrofauna_MAB.Rmd-observed-sharks.R,macrofauna,MAB,observed-sharks,observed_sharks,TRUE
macrofauna_NE.Rmd-observed-sharks.R,macrofauna,NE,observed-sharks,observed_sharks,TRUE
NA,NA,NA,NA,phyto_size,TRUE
LTL_MAB.Rmd-pp-monthly.R,LTL,MAB,pp-monthly,pp_monthly,NA
LTL_NE.Rmd-pp-monthly.R,LTL,NE,pp-monthly,pp_monthly,NA
human_dimensions_MAB.Rmd-pp-reconstructed.R,human_dimensions,MAB,pp-reconstructed,pp_reconstructed,NA
human_dimensions_NE.Rmd-pp-reconstructed.R,human_dimensions,NE,pp-reconstructed,pp_reconstructed,NA
LTL_NE.Rmd-pp-weekly.R,LTL,NE,pp-weekly,pp_weekly,NA
human_dimensions_MAB.Rmd-ppr.R,human_dimensions,MAB,ppr,ppr,TRUE
human_dimensions_NE.Rmd-ppr.R,human_dimensions,NE,ppr,ppr,TRUE
human_dimensions_NE.Rmd-ppr_comp90.R,human_dimensions,NE,ppr_comp90,ppr_comp90,NA
human_dimensions_NE.Rmd-ppr_index.R,human_dimensions,NE,ppr_index,ppr_index,NA
human_dimensions_NE.Rmd-ppr_mtl.R,human_dimensions,NE,ppr_mtl,ppr_mtl,NA
macrofauna_MAB.Rmd-productivity-anomaly.R,macrofauna,MAB,productivity-anomaly,productivity_anomaly,TRUE
macrofauna_NE.Rmd-productivity-anomaly-gb.R,macrofauna,NE,productivity-anomaly-gb,productivity_anomaly_gb,NA
macrofauna_NE.Rmd-productivity-anomaly-gom.R,macrofauna,NE,productivity-anomaly-gom,productivity_anomaly_gom,NA
human_dimensions_MAB.Rmd-rec_hms.R,human_dimensions,MAB,rec_hms,rec_hms,TRUE
human_dimensions_NE.Rmd-rec_hms.R,human_dimensions,NE,rec_hms,rec_hms,TRUE
NA,NA,NA,NA,recdat,TRUE
human_dimensions_MAB.Rmd-recdat-div-catch.R,human_dimensions,MAB,recdat-div-catch,recdat_div_catch,NA
human_dimensions_NE.Rmd-recdat-div-catch.R,human_dimensions,NE,recdat-div-catch,recdat_div_catch,NA
human_dimensions_MAB.Rmd-recdat-diversity.R,human_dimensions,MAB,recdat-diversity,recdat_diversity,NA
human_dimensions_NE.Rmd-recdat-diversity.R,human_dimensions,NE,recdat-diversity,recdat_diversity,NA
human_dimensions_MAB.Rmd-recdat-effort.R,human_dimensions,MAB,recdat-effort,recdat_effort,NA
human_dimensions_NE.Rmd-recdat-effort.R,human_dimensions,NE,recdat-effort,recdat_effort,NA
human_dimensions_MAB.Rmd-recdat-landings.R,human_dimensions,MAB,recdat-landings,recdat_landings,NA
human_dimensions_NE.Rmd-recdat-landings.R,human_dimensions,NE,recdat-landings,recdat_landings,NA
human_dimensions_MAB.Rmd-recreational-engagement.R,human_dimensions,MAB,recreational-engagement,recreational_engagement,NA
human_dimensions_NE.Rmd-recreational-engagement.R,human_dimensions,NE,recreational-engagement,recreational_engagement,NA
human_dimensions_MAB.Rmd-ryther.R,human_dimensions,MAB,ryther,ryther,NA
human_dimensions_NE.Rmd-ryther.R,human_dimensions,NE,ryther,ryther,NA
macrofauna_MAB.Rmd-seabird-mab.R,macrofauna,MAB,seabird-mab,seabird_mab,NA
NA,NA,NA,NA,seabird_MAB,TRUE
NA,NA,NA,NA,seabird_ne,TRUE
macrofauna_NE.Rmd-seabird-ne-diversity.R,macrofauna,NE,seabird-ne-diversity,seabird_ne_diversity,NA
macrofauna_NE.Rmd-seabird-ne-map.R,macrofauna,NE,seabird-ne-map,seabird_ne_map,NA
macrofauna_NE.Rmd-seabird-ne-prey-freq.R,macrofauna,NE,seabird-ne-prey-freq,seabird_ne_prey_freq,NA
macrofauna_NE.Rmd-seabird-ne-productivity.R,macrofauna,NE,seabird-ne-productivity,seabird_ne_productivity,NA
macrofauna_NE.Rmd-seal-pups.R,macrofauna,NE,seal-pups,seal_pups,TRUE
LTL_NE.Rmd-seasonal-oisst-anom.R,LTL,NE,seasonal-oisst-anom,seasonal_oisst_anom,TRUE
LTL_MAB.Rmd-seasonal-sst-anom-gridded.R,LTL,MAB,seasonal-sst-anom-gridded,seasonal_sst_anom_gridded,NA
LTL_NE.Rmd-seasonal-sst-anomaly-gridded.R,LTL,NE,seasonal-sst-anomaly-gridded,seasonal_sst_anomaly_gridded,TRUE
human_dimensions_MAB.Rmd-setup.R,human_dimensions,MAB,setup,setup,NA
human_dimensions_NE.Rmd-setup.R,human_dimensions,NE,setup,setup,NA
LTL_MAB.Rmd-setup.R,LTL,MAB,setup,setup,NA
LTL_NE.Rmd-setup.R,LTL,NE,setup,setup,NA
macrofauna_MAB.Rmd-setup.R,macrofauna,MAB,setup,setup,NA
macrofauna_NE.Rmd-setup.R,macrofauna,NE,setup,setup,NA
LTL_MAB.Rmd-shelf-NERRs-MH-DIN.R,LTL,MAB,shelf-NERRs-MH-DIN,shelf_NERRs_MH_DIN,NA
LTL_MAB.Rmd-shelf-NERRs-MP-DIN.R,LTL,MAB,shelf-NERRs-MP-DIN,shelf_NERRs_MP_DIN,NA
LTL_MAB.Rmd-shelf-seasonal-sst-anomaly-gridded.R,LTL,MAB,shelf-seasonal-sst-anomaly-gridded,shelf_seasonal_sst_anomaly_gridded,NA
LTL_NE.Rmd-slopewater.R,LTL,NE,slopewater,slopewater,TRUE
macrofauna_MAB.Rmd-species-dist.R,macrofauna,MAB,species-dist,species_dist,TRUE
NA,NA,NA,NA,species_groupings,TRUE
human_dimensions_MAB.Rmd-stock-status.R,human_dimensions,MAB,stock-status,stock_status,TRUE
human_dimensions_NE.Rmd-stock-status.R,human_dimensions,NE,stock-status,stock_status,TRUE
macrofauna_MAB.Rmd-stom-fullness.R,macrofauna,MAB,stom-fullness,stom_fullness,TRUE
macrofauna_NE.Rmd-stom-fullness.R,macrofauna,NE,stom-fullness,stom_fullness,TRUE
NA,NA,NA,NA,stratification,TRUE
macrofauna_MAB.Rmd-survey-shannon.R,macrofauna,MAB,survey-shannon,survey_shannon,TRUE
macrofauna_NE.Rmd-survey-shannon.R,macrofauna,NE,survey-shannon,survey_shannon,TRUE
LTL_MAB.Rmd-unnamed-chunk-1.R,LTL,MAB,unnamed-chunk-1,unnamed_chunk_1,NA
LTL_NE.Rmd-unnamed-chunk-1.R,LTL,NE,unnamed-chunk-1,unnamed_chunk_1,NA
macrofauna_MAB.Rmd-unnamed-chunk-1.R,macrofauna,MAB,unnamed-chunk-1,unnamed_chunk_1,NA
macrofauna_NE.Rmd-unnamed-chunk-1.R,macrofauna,NE,unnamed-chunk-1,unnamed_chunk_1,NA
macrofauna_MAB.Rmd-unnamed-chunk-2.R,macrofauna,MAB,unnamed-chunk-2,unnamed_chunk_2,NA
macrofauna_NE.Rmd-unnamed-chunk-2.R,macrofauna,NE,unnamed-chunk-2,unnamed_chunk_2,NA
macrofauna_MAB.Rmd-unnamed-chunk-3.R,macrofauna,MAB,unnamed-chunk-3,unnamed_chunk_3,NA
